👑 台灣,#genre#
Hollywood Movies,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/hollywoodmovies_twn/playlist.m3u8
三立台灣 Sanli Taiwan,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlitaiwan/playlist.m3u8
三立戲劇台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlixiju_twn/playlist.m3u8
三立綜合 Sanli Metro,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlizhonghe/playlist.m3u8
三立都會台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlidouhui/playlist.m3u8
CINEMAX,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cinemax_twn/playlist.m3u8
東森綜合 ETTV Metro,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvzhonghe/playlist.m3u8
東森戲劇 ETTV Drama,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvdrama/playlist.m3u8
東森超視,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvsuper/playlist.m3u8
東森財經新聞 ETTV Business,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvcaijing_twn/playlist.m3u8
寰宇財經,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/huanyutaiwan_twn/playlist.m3u8
大愛1台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/daai_twn/playlist.m3u8
龍華戲劇 Lunghua Drama,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuaxiju_twn/playlist.m3u8
龍華戲劇台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuaxiju_twn/playlist.m3u8
龍華經典台,http://148.135.34.95/mn.php?playurl=http://148.135/lunghuajingdian_twn/playlist.m3u8
龍華偶像,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuaidol_twn/playlist.m3u8
AXN Taiwan,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/axn_twn/playlist.m3u8
靖天國際台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/jingtianintl_twn/playlist.m3u8
緯來日本台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandjapan/playlist.m3u8
緯來電影台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandmovie_twn/playlist.m3u8
緯來體育台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandsport/playlist.m3u8
緯來綜合台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandzonghe/playlist.m3u8
緯來育樂,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandyule/playlist.m3u8
緯來精彩,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/videolandspecial_twn/playlist.m3u8
好消息 2,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/goods_twn/playlist.m3u8
大愛2台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/catchplay_twn/playlist.m3u8
亞洲美食,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/afc_twn/playlist.m3u8
美食星球,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/foodplanet_twn/playlist.m3u8
亞洲旅遊 TLC Asia,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tlc_twn/playlist.m3u8
東森電影 ETTV Movie,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvmovie/playlist.m3u8
阿里郎 Arirang,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/arirang_twn/playlist.m3u8
博斯運動 1,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bosisport1_twn/playlist.m3u8
博斯運動 2,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bosisport2_twn/playlist.m3u8
博斯高球2 HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bosigolf2_twn/playlist.m3u8
博斯網球 HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bositennis_twn/playlist.m3u8
東森洋片,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvwestern/playlist.m3u8
龍華洋片,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuawestern_twn/playlist.m3u8
博斯無限,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bosiunlimited_twn/playlist.m3u8
MTV Live,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/mtvhd_twn/playlist.m3u8
龍詳時代,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lungxiangtime_twn/playlist.m3u8/playlist.m3u8
EYETV 旅遊,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eyetvtravel_twn/playlist.m3u8
靖天卡通台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/jingtiancartoon_twn/playlist.m3u8
EYETV 戲劇,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eyetvxiju_twn/playlist.m3u8
衛視中文台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/weishichinese_twn/playlist.m3u8
東森幼幼 Yoyo TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/yoyo_twn/playlist.m3u8
衛視電影台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/weishimovie_twn/playlist.m3u8
美亞電影,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/meiyamovie_twn/playlist.m3u8
愛爾達影劇台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltayingju_twn/playlist.m3u8
愛爾達綜合台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltazonghe_twn/playlist.m3u8
星衛電影,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/xingwei_movie/playlist.m3u8
愛爾達影劇,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltayingju_twn/playlist.m3u8
愛爾達體育2台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltasport2_twn/playlist.m3u8
愛爾達體育3台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/eltasport3_twn/playlist.m3u8
AFC 亞洲旅遊台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/asiatravel_twn/playlist.m3u8
大愛2台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/catchplay_twn/playlist.m3u8
東森電影,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvmovie/playlist.m3u8
東森洋片,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvwestern/playlist.m3u8
龍華洋片,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lunghuawestern_twn/playlist.m3u8
龍詳時代,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/lungxiangtime_twn/playlist.m3u8/playlist.m3u8
Animax,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Animax/playlist.m3u8
Movies Now HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/moviesnow_raj/playlist.m3u8
Star Movies HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/starmovies_raj/playlist.m3u8
衛視中文台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/weishichinese_twn/playlist.m3u8
HBO Family,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Hbofamily/playlist.m3u8
衛視電影台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/weishimovie_twn/playlist.m3u8
HBO HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Hbo/playlist.m3u8
Hits,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Hits/playlist.m3u8
Warner TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/WarnerTV/playlist.m3u8
美亞電影,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/meiyamovie_twn/playlist.m3u8
星衛電影,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/xingwei_movie/playlist.m3u8
HBO Signature,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Hbosignature/playlist.m3u8
HBO Hits,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Hbohits/playlist.m3u8
亞洲美食,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/afc_twn/playlist.m3u8
美食星球,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/foodplanet_twn/playlist.m3u8
亞洲旅遊 TLC Asia,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tlc_twn/playlist.m3u8
亞洲旅遊台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/asiatravel_twn/playlist.m3u8
靖天卡通台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/jingtiancartoon_twn/playlist.m3u8
東森幼幼 Yoyo TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/yoyo_twn/playlist.m3u8

TVBS新聞,http://122.117.71.103:8543/http/61.222.53.250:8081/hls/75/817/ch59.m3u8
年代新聞,http://122.117.71.103:8538/http/61.222.53.250:8081/hls/67/809/ch27.m3u8
三立新聞HD,http://122.117.71.103:8542/http/61.222.53.250:8081/hls/65/807/ch18.m3u8




👑 大陸港澳,#genre#
鳯凰中文,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/phoenixtv_hd/playlist.m3u8
鳯凰中文,http://dns.yiandrive.com:15907/phenix/fhzw
鳯凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
鳯凰中文,http://qctv.fengshows.cn/live/0701pcc48.flv?txSecret=89fc07a06973217f08067678cca6bb3f&txTime=679c212a
鳯凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳯凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
鳯凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8

鳯凰資訊,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/phoenixinfo_hd/playlist.m3u8
鳯凰資訊,http://dns.yiandrive.com:15907/phenix/fhzx
鳯凰資訊,http://cdn3.132.us.kg/live/fhzx/stream.m3u8
鳯凰資訊,http://qctv.fengshows.cn/live/0701pin48.flv?txSecret=c82f1e723999fb828c9f0c44e1217856&txTime=679c224a
鳯凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
鳯凰資訊,http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8

香港衛視,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/hkphoenix_twn/playlist.m3u8
翡翠頻道,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/jade_twn/playlist.m3u8
明珠頻道,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/pearl_twn/playlist.m3u8

香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港衛視,http://zhibo.hkstv.tv:80/livestream/mutfysrq/playlist.m3u8?wsSession=58fb87f3f5d08acd48abbc8e-173873172945927&wsIPSercert=326441c8ea9fc08387baba37c36305fd
香港33台,https://rthktv33-live.akamaized.net:443/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net:443/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net:443/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8

星河頻道,http://115.46.95.194:8181/tsfile/live/1039_1.m3u8?key=txiptv
鳳凰香港,http://dns.yiandrive.com:15907/phenix/fhhk
鳳凰香港,http://139.196.228.200:5678/公眾號搞機大師/fhx.php?id=hk
翡翠頻道,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠華麗,http://php.jdshipin.com/smt.php?id=Tvbjade
無線星河,http://php.jdshipin.com/smt.php?id=Xinhe
鳳凰香港,http://8hb85846je10.vicp.fun:5000/bysid/85
翡翠頻道,http://8hb85846je10.vicp.fun:8001/bysid/1
明珠頻道,http://8hb85846je10.vicp.fun:5000/bysid/2
明珠頻道,ttp://zsntlqj.xicp.net:-5/bysid/2.m3u8
翡翠頻道,http://qjrhc.jydjd.top:2911/udp/224.1.100.121:11111
翡翠頻道,http://qjrhc.jydjd.top:2911/udp/224.1.100.122:11111
明珠頻道,http://qjrhc.jydjd.top:2911/udp/224.1.100.123:11111
明珠頻道,http://qjrhc.jydjd.top:2911/udp/224.1.100.124:11111
ViuTVsix,http://8hb85846je10.vicp.fun:8001/bysid/96
ViuTV台,http://8hb85846je10.vicp.fun:8001/bysid/99
香港33台,https://rthktv33-live.akamaized.net:443/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
澳視澳門,http://cdn.132.us.kg/live/asam/stream.m3u8
耀才財經,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
AMCEAS,http://fl5.moveonjoy.com/AMC_NETWORK/index.m3u8

TVB Plus,http://27.148.142.27/libof.kesx.top/live/5658kwkozjt.m3u8?wsSession=3d5054a51406944e5071d6ad-173901963204416&wsIPSercert=9de9757d70ef540630c3b0f358ba0c6d&wsiphost=local&wsBindIP=1
TVB Plus,http://108.181.20.181/livehttpplay?channel_id=30030
TVB Plus,http://108.181.20.181/livehttpplay?channel_id=20122
ViuTV,http://108.181.20.181/livehttpplay?channel_id=30032
viuTV,http://108.181.20.181/livehttpplay?channel_id=20131
viuTV6,http://108.181.20.181/livehttpplay?channel_id=20132
ViuTV6,http://108.181.20.181/livehttpplay?channel_id=30033
RHK31,http://108.181.20.181/livehttpplay?channel_id=30066
RTHK 32,http://108.181.20.181/livehttpplay?channel_id=20203
RTHK 32,http://108.181.20.181/livehttpplay?channel_id=30028
明珠頻道,http://8hb85846je10.vicp.fun:5000/bysid/2
TVB Plus,http://8hb85846je10.vicp.fun:5000/bysid/82
無綫新聞,http://8hb85846je10.vicp.fun:5000/bysid/83
鳳凰香港,http://8hb85846je10.vicp.fun:5000/bysid/85


👑 央視,#genre#
CCTV1,rtsp://60.13.39.18/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV2,rtsp://60.13.39.18/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV3,rtsp://60.13.39.18/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV4,rtsp://60.13.39.18/PLTV/88888910/224/3221225850/376430583.smil
CCTV5,rtsp://60.13.39.18/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
CCTV5,rtsp://60.13.39.18/PLTV/88888910/224/3221225570/10000100000000060000000000107350_0.smil
CCTV6,rtsp://60.13.39.18/PLTV/88888910/224/3221225600/10000100000000060000000000295673_0.smil
CCTV7,rtsp://60.13.39.18/PLTV/88888910/224/3221225572/10000100000000060000000000107352_0.smil
CCTV8,rtsp://60.13.39.18/PLTV/88888910/224/3221225601/10000100000000060000000000295674_0.smil
CCTV9,rtsp://60.13.39.18/PLTV/88888910/224/3221225575/10000100000000060000000000107355_0.smil
CCTV10,rtsp://60.13.39.18/PLTV/88888910/224/3221225577/10000100000000060000000000107357_0.smil
CCTV11,rtsp://60.13.39.18/PLTV/88888910/224/3221225843/376430589.smil
CCTV12,rtsp://60.13.39.18/PLTV/88888910/224/3221225578/10000100000000060000000000107358_0.smil
CCTV13,rtsp://60.13.39.18/PLTV/88888910/224/3221225844/376430600.smil
CCTV14,rtsp://60.13.39.18/PLTV/88888910/224/3221225579/10000100000000060000000000107359_0.smil
CCTV15,rtsp://60.13.39.18/PLTV/88888910/224/3221225847/376430588.smil
CCTV16,rtsp://60.13.39.18/PLTV/88888910/224/3221225605/10000100000000060000000000566169_0.smil
CCTV17,rtsp://60.13.39.18/PLTV/88888910/224/3221225612/10000100000000060000000000804195_0.smil

CCTV1,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv1/playlist.m3u8
CCTV2,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv2/playlist.m3u8
CCTV3,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv3/playlist.m3u8
CCTV4,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv4/playlist.m3u8
CCTV4,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Cctv4/playlist.m3u8
CCTV5,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv5/playlist.m3u8
CCTV5+,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv5plus/playlist.m3u8
CCTV6,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv6/playlist.m3u8
CCTV7,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv7/playlist.m3u8
CCTV8,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv8hd/playlist.m3u8
CCTV9,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv9hd/playlist.m3u8
CCTV10,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv10hd/playlist.m3u8
CCTV11,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv11/playlist.m3u8
CCTV12,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv12/playlist.m3u8
CCTV13,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv13/playlist.m3u8
CCTV14,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv14/playlist.m3u8
CCTV15,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cctv15/playlist.m3u8

CCTV1,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1
CCTV2,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv2
CCTV3,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv3
CCTV4,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv4
CCTV4美洲,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv4a
CCTV4歐洲,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv4o
CCTV5,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv5
CCTV5+,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv5p
CCTV6,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv6
CCTV7,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv7
CCTV8,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv8
CCTV9,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv9
CCTV10,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv10
CCTV11,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv11
CCTV12,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv12
CCTV13,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv13
CCTV14,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv14
CCTV15,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv15
CCTV17,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1

CCTV1,rtsp://122.191.53.183:554/PLTV/88888888/224/3221225513/10000100000000060000000000007639_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Ds6+UerNys+d1Hf+VWxZeoIkFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV2,rtsp://122.191.53.175:554/PLTV/88888888/224/3221225501/10000100000000060000000000002586_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DZXBvkwqDofMxBNS//nh6lIkFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV3,rtsp://122.191.50.135:554/PLTV/88888888/224/3221225747/10000100000000060000000002957367_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Dektd4lpiHhPSN8FWjCACu4kFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV4,rtsp://122.191.53.182:554/PLTV/88888888/224/3221225732/10000100000000060000000001790339_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DxRPPuUbLLK/EIFrPF3EX14kFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV5,rtsp://122.191.50.135:554/PLTV/88888888/224/3221225672/10000100000000060000000000330974_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DBQqSEkEdfnDrK0/rst6cu4kFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV5+,rtsp://122.191.53.175:554/PLTV/88888888/224/3221225562/10000100000000060000000000007619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DrGgQ91KMWnBKGl51mAFO+IkFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV5+,http://122.191.50.135:80/PLTV/88888888/224/3221225562/10000100000000060000000000007619_0.smil/index.m3u8?fmt=ts2hls&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DrGgQ91KMWnBKGl51mAFO+IkFTbj4rCw14DRUTelHCiM=:20220106103026,1
CCTV6,rtsp://122.191.50.135:554/PLTV/88888888/224/3221225750/10000100000000060000000002957366_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DhlHol0mSbHMtTBL79RVll4kFTbj4rCw14DRUTelHCiM=:20220106103026,
