🌐 大街,#genre#
ELEVEN體育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN體育2,rtmp://f13h.mine.nu/sat/tv741
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
TVBS新聞,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
TVBS新聞,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
鳳凰資訊,http://61.221.215.25:8800/hls/47/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
蕃薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯音樂,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
時尚FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
半島新聞,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
韓國電影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韓國電影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
東森電影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv 
龍祥時代,https://ali.hlspull.yximgs.com/live/14r5t6y7u8i9o0p1q2w3e4r5t6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
龍華電影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龍華經典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華日韓,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龍華戲劇,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Arirang TV,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
耀才財經,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8?
鳳凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv
鳳凰資訊,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv


📶 代理,#genre#
壹新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=42
年代新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=43
非凡新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=44
鏡新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=46
中天新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=37
中天綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=38
TVBS新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=40
TVBSHD,http://47.239.163.171/HDTV/QQ群1047470024.php?id=41
東森新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=47
東森超視,http://47.239.163.171/HDTV/QQ群1047470024.php?id=48
東森綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=49
東森戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=50
東森電影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=51
東森洋片,http://47.239.163.171/HDTV/QQ群1047470024.php?id=52
緯來體育,http://47.239.163.171/HDTV/QQ群1047470024.php?id=54
緯來綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=55
緯來戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=56
龍華偶像,http://47.239.163.171/HDTV/QQ群1047470024.php?id=58
龍華戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=59
龍華經典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=62
三立新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=63
八大綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=64
八大戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=65
靖天電影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=66
靖洋戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=67
愛爾達影劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=68
愛爾達綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=69
HBOHD,http://47.239.163.171/HDTV/QQ群1047470024.php?id=70
HBO強檔,http://47.239.163.171/HDTV/QQ群1047470024.php?id=72
HBO家庭,http://47.239.163.171/HDTV/QQ群1047470024.php?id=73
好萊塢電影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=74
AMC電影,http://47.239.163.171/HDTV/QQ群1047470024.php?id=75
中視,http://47.239.163.171/HDTV/QQ群1047470024.php?id=76
中視新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=77
中視經典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=78
公視,http://47.239.163.171/HDTV/QQ群1047470024.php?id=79
公視戲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=80
民視,http://47.239.163.171/HDTV/QQ群1047470024.php?id=81
民視影劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=82
鳳凰衛視中文,http://47.239.163.171/HDTV/QQ群1047470024.php?id=1
鳳凰衛視資訊,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
鳳凰衛視資訊,http://47.239.163.171/HDTV/QQ群1047470024.php?id=3
鳳凰衛視香港,http://47.239.163.171/HDTV/QQ群1047470024.php?id=5
香港有線新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=6
TVB翡翠,http://ali.hlspull.yximgs.com/live/qwt_feicui.flv
TVB無綫新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=8
TVB無綫新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=9
TVBplus,http://47.239.163.171/HDTV/QQ群1047470024.php?id=11
VIU TV,http://47.239.163.171/HDTV/QQ群1047470024.php?id=14
VIUTV6,http://47.239.163.171/HDTV/QQ群1047470024.php?id=15
NOW新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=16
Now體育,http://47.239.163.171/HDTV/QQ群1047470024.php?id=18
Now英超1,http://47.239.163.171/HDTV/QQ群1047470024.php?id=19
HOY77,http://47.239.163.171/HDTV/QQ群1047470024.php?id=20
TVB黃金翡翠,http://47.239.163.171/HDTV/QQ群1047470024.php?id=22
TVB千禧經典,http://47.239.163.171/HDTV/QQ群1047470024.php?id=23
TVB亞洲劇,http://47.239.163.171/HDTV/QQ群1047470024.php?id=24
TVB亞洲綜合,http://47.239.163.171/HDTV/QQ群1047470024.php?id=26
TVB戲曲,http://47.239.163.171/HDTV/QQ群1047470024.php?id=28
TVB粵語片,http://47.239.163.171/HDTV/QQ群1047470024.php?id=29
MyTV兒童,http://47.239.163.171/HDTV/QQ群1047470024.php?id=30
popc,http://47.239.163.171/HDTV/QQ群1047470024.php?id=33
美亞電影(港),http://47.239.163.171/HDTV/QQ群1047470024.php?id=34
美亞電影(台),http://47.239.163.171/HDTV/QQ群1047470024.php?id=35


🛰️ 衛星,#genre#
國家地理,http://198.16.100.186:8278/natgeohd_twn/playlist.m3u8?tid=MD3D4446495344464953&ct=19249&tsum=f8c0bfc8c564a4a28247dad400acddba
三立戲劇,http://198.16.100.186:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
三立戲劇,http://198.16.100.186:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
八大第一,http://198.16.100.186:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://198.16.100.186:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大第一,http://198.16.100.186:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大綜合,http://198.16.100.186:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
八大綜合,http://198.16.100.186:8278/badazhonghe/playlist.m3u8?tid=MCFC9951205299512052&ct=19249&tsum=dc4ca0de5e57c9f4caee0bb4e80c098a
東森戲劇,http://198.16.100.186:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
東森綜合,http://198.16.100.186:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
非凡新聞,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
靖天國際,http://198.16.100.186:8278/jingtianintl_twn/playlist.m3u8?tid=MC7C4153806141538061&ct=19254&tsum=79854f3ccdc23693ea39da52af54d35b
靖天卡通,http://198.16.100.186:8278/jingtiancartoon_twn/playlist.m3u8?tid=MD1D2636832926368329&ct=19226&tsum=22c17cfa6920f0b4a9d45746ac25c547
龍華偶像,http://198.16.100.186:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff
龍華戲劇,http://198.16.100.186:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbbae9a364979295fd690f7d
龍華戲劇,http://198.16.100.186:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
龍華電影,http://198.16.100.186:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
NICKELODEON卡通,http://198.16.100.186:8278/Nickelodeon/playlist.m3u8?tid=MBBB9174743591747435&ct=19249&tsum=9901089db6361b9cafc0ab9de5612bee
地理野生動物,http://198.16.100.186:8278/natgeowildtamil_raj/playlist.m3u8?tid=MA3A7576802775768027&ct=19249&tsum=38e4069aeedc94944ccb5122c294c939
AXNTAIWAN,http://198.16.100.186:8278/axn_twn/playlist.m3u8?tid=MC6C9875939098759390&ct=19254&tsum=5a6772e6e852b06c1b5741eeb4002a1a
公視,http://198.16.100.186:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
華視,http://198.16.100.186:8278/ctshd_twn/playlist.m3u8?tid=MC3C3582911835829118&ct=19249&tsum=f2c0c86801d43be647206c4ddb8e9ce6
動物星球1,http://198.16.100.186:8278/animalplanet_twn/playlist.m3u8?tid=MF4F9191603991916039&ct=19254&tsum=8eeac3e9b8c5f58ad74a17b9b4813ed1
博斯運動1,http://198.16.100.186:8278/bosisport1_twn/playlist.m3u8?tid=MDAD4087844840878448&ct=19249&tsum=0a23fd28e83ff8205a515273a4c1b421
博斯運動2,http://198.16.100.186:8278/bosisport2_twn/playlist.m3u8?tid=ME9E7698135376981353&ct=19249&tsum=9eadcc8585f74357f09f1465844024c9
博斯高球1,http://198.16.100.186:8278/bosigolf1_twn/playlist.m3u8?tid=m51c41c232c43&ct=18335&tsum=26e2e08302bf0409db94a692921fa08b
東森戲劇,http://198.16.100.186:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
靖天卡通,http://198.16.100.186:8278/jingtiancartoon_twn/playlist.m3u8?tid=MD1D2636832926368329&ct=19226&tsum=22c17cfa6920f0b4a9d45746ac25c547
大愛1,http://198.16.100.186:8278/daai_twn/playlist.m3u8?tid=ME5E3594665135946651&ct=19249&tsum=1628ac38fd6a79879fccae39de8e845b
非凡新聞,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
國家地理,http://198.16.100.186:8278/Natgeo/playlist.m3u8?tid=MD9D9302547893025478&ct=19249&tsum=98e3f2f5104d6ed1e826d12d93d64794
國家地理,http://198.16.100.186:8278/natgeohd_twn/playlist.m3u8?tid=MD3D4446495344464953&ct=19249&tsum=f8c0bfc8c564a4a28247dad400acddba
東森綜合,http://198.16.100.186:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
翡翠,http://198.16.100.186:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
中視,http://198.16.100.186:8278/zhongshihd_twn/playlist.m3u8?tid=MBDB6720263767202637&ct=19249&tsum=edd778f298b53c39b3b9706700032605
阿里郎,http://198.16.100.186:8278/arirang_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ce64ef8bc61140524339935d73ae5481
CN卡通,http://198.16.100.186:8278/momo1_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=1bcf38de8605c061c98d5e5c55163725
靖天國際,http://198.16.100.186:8278/jingtianintl_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=5bfb3aef7cf468e9b1377324fccbfc68
非凡新聞,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ac14986110b0e75fe23edff90ab336b2
龍祥時代,http://198.16.100.186:8278/lungxiangtime_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=97b5a1d6e0010c40e6d8781805a70ba2
龍華戲劇,http://198.16.100.186:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6e351c1cca8c4f6d4a8be9b8d774dc0a
龍華經典,http://198.16.100.186:8278/lunghuajingdian_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=96207c471d439515e0067b333e3b5459
龍華電影,http://198.16.100.186:8278/xingwei_movie/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=53153e05f428f28b65eb5559ae5b9dc0
鳳凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
中天新聞,http://ali.hlspull.yximgs.com/live/qwt_zhongtianxinwen.flv
搜狐劇場,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
星光電影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
東森電影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
龍祥時代,https://ali.hlspull.yximgs.com/live/14r5t6y7u8i9o0p1q2w3e4r5t6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
音樂欣賞1,http://61.221.215.25:8800/hls/49/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
百姓健康,http://8.138.7.223/tv/bxjk.m3u8
八度空間,http://8.138.7.223/【公眾號：榴芒電視】/8tv.m3u8
新加CH5頻高,https://cdn6.163189.xyz/live/ch5/stream.m3u8
鳳凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
RTHK-33頻道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34頻道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35頻道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
Kompass TV,http://198.16.100.186:8278/Kompass/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=5dcf7ab227a836046597dfa05663d90a
Indosiar HD,http://198.16.100.186:8278/Indosiar/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=c9b27b4c7de9e1772c7e52cf40f7bd55
AnTV,http://198.16.100.186:8278/Antv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ee3b56d5da66231fc3ee9dc9dafc786c
MNC TV,http://198.16.100.186:8278/Mnctv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ea845e9031e34ef4f68d13d6ea0bd7bf
Trans 7,http://198.16.100.186:8278/Trans7_eko/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6af35944562d073011f85dd836aab31f
Transtv,http://198.16.100.186:8278/Transtv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=559265c65bf3062e53b42ad93e433ac1
JTV,http://198.16.100.186:8278/JTV_eko/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=f95e68b3a0ad0a86a8b241734af9c0c2
Metro TV,http://198.16.100.186:8278/metrotv_eko/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=99329a7a667558dce68f0420cf676b89
Cinemax,http://198.16.100.186:8278/Cinemax/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=50e3741a2c29baab231b6cbadfd47563
SCTV,http://198.16.100.186:8278/SCTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=cdfe2f28d1d9a5ec278d3d77f0e45126
Tvone,http://198.16.100.186:8278/Tvone/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=0bc334aba30ded1df4c346e7a57833cb
TVMU,http://198.16.100.186:8278/TVMU_eko/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=e5f9df9ae30be27d199c036041f4d99b
GTV,http://198.16.100.186:8278/Gtv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=1f13be44de9e4f9d35d71e4ca9d46e40
RTV,http://198.16.100.186:8278/Rtv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=b4af8d90525fb682a9afa4c72b3e2765
Jak TV,http://198.16.100.186:8278/JakTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=892244afdf974c5d086e16b8526c5988
iNews TV,http://198.16.100.186:8278/Inewstv/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=0a460b5c597688f1e0c4c78aa000d5bf
Daai TV,http://198.16.100.186:8278/DaaiTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=b29adb902d7714f3ebab41ed05ba7f74
Net TV,http://198.16.100.186:8278/NetTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=9e396ddd569d6075d11297f54e571e2c
Animax,http://198.16.100.186:8278/Animax/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=aceff7688c2c3307497c5161715a262f
EWTN,http://198.16.100.186:8278/Ewtn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ab22277c6feda9d81bc119d158467a55
Tawaf TV,http://198.16.100.186:8278/TawafTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=a1f3bec403af6ad81cb0006dba6f23b3
Vision Prime,http://198.16.100.186:8278/VisionPrime/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=e084735356006084a9afc1b4fe369505
Muslim TV,http://198.16.100.186:8278/MuslimTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=0f280d0327c4ec24fb6410c3c2921475
Music TV,http://198.16.100.186:8278/MusicTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=81f5133f28dddb94a7b40c6a33bc1380
Lifestyle&Fashion,http://198.16.100.186:8278/Lifestyle/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6df2bd6f8e097afef3f15343ef236621
Warner TV,http://198.16.100.186:8278/WarnerTV/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=cba8fbd0d48bb35836fc4843c498b8b9
SCM,http://198.16.100.186:8278/Weishimovie/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=db575c6ceb0f6eade8e79d92d577fefe
Thrill,http://198.16.100.186:8278/Thrill/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=65c2cb5aec92c8119f2c29461c640231
Fight Sports,http://198.16.100.186:8278/Fs/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=0c68e8caa52e1fcf851fa21ecb37d398
tvN Movie,http://198.16.100.186:8278/Tvnmovie/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=bef509366086b2947512e385bb4a33d7
Celestial Movies HD,http://198.16.100.186:8278/Celestialindo/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6b606cecf8c8f952cd6a9f5d9774f394
Rock Actions,http://198.16.100.186:8278/Rockaction/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=a770290a29f3b4c4f9baca44470db8d5
Rock Entertainment,http://198.16.100.186:8278/Rockentertain/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=761fae4a976f56c888520270917f56e5
RHK 31,http://198.16.100.186:8278/rhk31_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=666b7b6d5654d8005a067f7bacaa2062
RHK 32,http://198.16.100.186:8278/rhk32_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=16d0610db4e8396ea5b62d1ac44bc4bc
VIUTV1,http://198.16.100.186:8278/viu1_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=caad8789b260e0d7f41989d626822569
Viu6,http://198.16.100.186:8278/viusix_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=0e3278c91e170da7eff1f918e81773b5
iNews 新聞,http://198.16.100.186:8278/inews_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=d4f68707a51c1cdefc28ca9bb63a3a09
日本賽馬頻道Green Channel,https://hncfree-samsungau.amagi.tv/playlist.m3u8
珍珠,http://198.16.100.186:8278/pearl_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=23ce061d52e67be92cb89a222e9958a2
鳳凰衛視,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6c4718b80e294357af0ceb878ca6e0f7
鳳凰信息,http://198.16.100.186:8278/phoenixinfo_hd/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=eebd39d54d44acac9b9e72161dd32374
鳳凰香港,http://198.16.100.186:8278/hkphoenix_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=4183c94fea010c7e1abbc12ca204f3f2
鳳凰衛視,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6c4718b80e294357af0ceb878ca6e0f7
Supersports 1,http://198.16.100.186:8278/go_assp1/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=9ec4e0ada36802f688f71dc0291ea71d
Supersports 2,http://198.16.100.186:8278/go_assp2/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=9d6255380db3f928aeb5b2887bd7945b
Supersports 3,http://198.16.100.186:8278/go_assp3/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=7ed2cdb965e36d4b6d78fe2ce46d0571
Supersports 4,http://198.16.100.186:8278/go_assp4/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=64f174e04f6c6caafe7a631297b3b56e
